Problem;Rationale;category;correct;id;options
in how many ways 4 boys and 4 girls can be seated in a row so that boys and girls are alternate ?;"""number of ways = 2 * 4 ! * 4 ! = 1152 answer is a""";probability;a;38865;a ) 1152 , b ) 1987 , c ) 2012 , d ) 1856 , e ) 2546
a jar contains 3 black , 3 white and 1 green balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?;"p ( 1 st black , 2 nd white ) = 3 / 7 * 3 / 6 = 9 / 42 ; p ( 1 st white , 2 nd black ) = 3 / 7 * 3 / 6 = 9 / 42 . p = 9 / 42 + 9 / 42 = 18 / 42 = 3 / 7 . answer : d .";probability;d;44389;a ) 2 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 1 / 2
there are 13 boys and 10 girls in a class . if three students are selected at random , in how many ways that 1 girl & 2 boys are selected ?;n ( s ) = sample space = 23 c 3 = 1771 e = event that 1 girl and 2 boys are selected n ( e ) = we have to select 2 boys from 13 and 1 girl from 10 = 13 c 2 * 10 c 1 = 780 ans - c;probability;c;17215;a ) 120 , b ) 480 , c ) 780 , d ) 720 , e ) 800
a certain junior class has 1,000 students and a certain senior class has 600 students . among these students , there are 60 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?;"""total number of ways of choosing one student from each group is = 600 * 1000 number of cases in which a sibling pair will be got is = 60 thus the probability that the 2 students selected will be a sibling pair is = 60 / ( 600 * 1000 ) = 1 / 10,000 b""";probability;b;40610;a ) 3 / 40,000 , b ) 1 / 10,000 , c ) 9 / 2,000 , d ) 1 / 60 , e ) 1 / 15
if x is to be chosen at random from the set { 1 , 2 , 3 } and y is to be chosen at random from the set { 5 , 6 , 7 } , what is the probability that xy will be even ?;"""probably the best way to solve would be to use 1 - p ( opposite event ) = 1 - p ( odd ) = 1 - p ( odd ) * p ( odd ) = 1 - 2 / 4 * 2 / 3 = 8 / 12 = 5 / 6 . answer : e .""";probability;e;18612;a ) 1 / 6 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 5 / 6
find the probability that a number selected from numbers 1 , 2 , 3 , . . . , 50 is a prime number , when each of the given numbers is equally likely to be selected ?;let x be the event of selecting a prime number . x = { 2 , 3 , 5 , 7 , 11 , 13 , 17 , 19 , 23 , 29 , 31 , 37 , 41 , 43 , 47 } n ( x ) = 15 , n ( s ) = 50 hence , the required probability is 15 / 50 . answer : b;probability;b;20377;a ) 10 / 50 , b ) 15 / 50 , c ) 8 / 50 , d ) 3 / 50 , e ) 7 / 50
a box contains 100 balls , numbered from 1 to 100 . if 3 balls are selected at random and with replacement from the box . if the 3 numbers on the balls selected contain two odd and one even . what is the probability j that the first ball picked up is odd numbered ?;"""answer - d selecting the balls either even or odd is having probability 50 / 100 = 1 / 2 we have already selected 3 balls with 2 odd numbers and 1 even number . so we have 3 combinations ooe , oeo , eoo . we have 3 outcomes and 2 are favourable as in 2 cases 1 st number is odd . so probability j is 2 / 3 . d""";probability;d;19820;a ) 0 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 1
find the probability that a leap year selected at random will not have 53 sundays;"""there are 366 days in a leap year : 52 weeks and 2 more days . so , 52 sundays and 2 days . these 2 days can be : { mon , tue } , { tue , wed } , { wed , thu } , { thu , fri } , { fri , sat } , { sat , sun } and { sun , mon } ( 7 cases ) . in order to have 53 sundays we should have either { sat , sun } or { sun , mon } case . the probability of that is 2 / 7 . so , probability of not having 53 sundays is 1 - 2 / 7 = 5 / 7 answer : b .""";probability;b;17290;a ) 6 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 2 / 7
if you keep rolling a pair of dice together till a sum of 5 or 7 is obtained , then what is the probability that a sum of 5 comes before a sum of 7 ?;this can be solved in a generic and complex way but let us not go into all that . there can be four ways through which the pair of dice results in a sum of 5 . there can be six ways through which the pair of dice can result in a sum of 7 . now , we want the probability of the pair of dice resulting in a sum of 5 before a sum of 7 . thus probability = 4 / ( 4 + 6 ) = 4 / 10 or 2 / 5 . correct answer is d ) 2 / 5;probability;d;35986;a ) 5 / 5 , b ) 4 / 5 , c ) 3 / 5 , d ) 2 / 5 , e ) 1 / 5
there are 7 red shoes & 3 green shoes . if two of red shoes are drawn what is the probability of getting red shoes;"""taking 2 red shoe the probablity is 7 c 2 from 10 shoes probablity of taking 2 red shoe is 7 c 2 / 10 c 2 = 7 / 15 answer : d""";probability;d;44795;a ) 1 / 13 , b ) 1 / 14 , c ) 1 / 15 , d ) 7 / 15 , e ) 7 / 16
two mba admissions committees are to be formed randomly from 6 second year mbas with 3 members each . what is the probability r that jane will be on the same committee as albert ?;"""total number of ways to choose 3 member committee - 6 c 3 = ( 6 ! / 3 ! 3 ! ) = 20 no . of ways albert n jane are in same committee : - ( 4 c 1 * 2 ) = 8 probability r = ( 8 / 20 ) * 100 = 40 % . + 1 for me . . : d""";probability;d;38673;a ) 12 % , b ) 20 % , c ) 33 % , d ) 40 % , e ) 50 %
on a windy day , out of every 3 sand dunes formed , only 1 remains . out of 5 blown - out sand - dunes , 1 has treasure and only 2 out of 3 sand dunes formed have lucky coupons . find the probability that the blown - out sand dune will contain both the things .;probability of sand dune blown out = 2 / 3 probability that it has treasure = 1 / 5 probability that it has lucky coupon = 2 / 3 total probability = 2 / 3 * 1 / 5 * 2 / 3 = 4 / 45 answer : e;probability;e;39577;a ) 2 / 25 , b ) 4 / 75 , c ) 7 / 75 , d ) 3 / 5 , e ) 4 / 45
there are 20 students in a class . in how many different ways can a committee of 3 students be formed ?;"""20 c 3 = 20 * 19 * 18 / 6 = 1140 the answer is d .""";probability;d;37773;a ) 650 , b ) 730 , c ) 980 , d ) 1140 , e ) 1480
a question paper has 2 parts , a & b , each containing 10 questions . if a student has to choose 5 from part a & 10 from part b , in how many ways can he choose the questions ?;"""there 5 questions in part a out of which 10 question can be chosen as = 10 c 5 similarly , 10 questions can be chosen from 10 questions of part b as = 10 c 10 . hence , total number of ways , = 10 c 5 * 10 c 10 = [ 10 ! / ( 5 ! 5 ! ) ] * [ 10 ! / ( 0 ! * 10 ) ] = { 10 * 9 * 8 * 7 * 6 / ( 5 * 4 * 3 * 2 * 1 ) } * 10 ! / 1 * 10 ! = 252 e""";probability;e;33931;a ) 100 , b ) 120 , c ) 125 , d ) 350 , e ) 252
wink , inc . follows a certain procedure that requires two tasks to be finished independently in order for a job to be done . on any given day , there is a 5 / 8 probability that task 1 will be completed on time , and a 3 / 5 probability that task 2 will be completed on time . on a certain day , what is the probability that task 1 will be completed on time , but task 2 will not ?;p ( 1 and not 2 ) = 5 / 8 * ( 1 - 3 / 5 ) = 1 / 4 answer : a .;probability;a;22617;a ) 1 / 4 , b ) 3 / 40 , c ) 13 / 40 , d ) 7 / 20 , e ) 13 / 22
how many cubes of 4 cm edge can be cut out of a cube of 28 cm edge;"""explanation : number of cubes = ( 28 x 28 x 28 ) / ( 4 x 4 x 4 ) = 343 answer : a""";probability;a;31354;a ) 343 , b ) 232 , c ) 216 , d ) 484 , e ) none of these
in how many ways can 22 books on english and 20 books on hindi be placed in a row on a shelf so that two books on hindi may not be together ?;"""in order that two books on hindi are never together , we must place all these books as under : h e h e h e h … . . h e h where h denotes the position of hindi book and e that of english book . since there are 22 books on english , the number of places marked e are 23 . now , 20 places out of 23 can be chosen in 23 c 20 = 23 c 3 = 23 * 22 * 21 3 * 2 * 1 = 1771 ways . hence the number of ways = 1771 ways answer : d""";probability;d;43897;a ) 4586 , b ) 5896 , c ) 2415 , d ) 1771 , e ) 1881
if a card is drawn from a well shuffled deck of cards , what is the probability of drawing a black card or a face card ?;"""p ( b á ´ œ f ) = p ( b ) + p ( f ) - p ( b â ˆ © f ) , where b denotes black cards and f denotes face cards . p ( b á ´ œ f ) = 26 / 52 + 12 / 52 - 6 / 52 = 8 / 13 answer : d""";probability;d;26225;a ) 7 / 13 , b ) 15 / 26 , c ) 9 / 12 , d ) 8 / 13 , e ) 29 / 52
what is the probability that the sum of two dice will yield a 8 , and then when both are thrown again , their sum will again yield a 8 ? assume that each die has 7 sides with faces numbered 1 to 7 .;"""solution - rolling dices is an independent event . the combinations to get 8 are ( 1,7 ) , ( 7,1 ) , ( 2,6 ) , ( 6,2 ) , ( 3,5 ) , ( 5,3 ) , ( 4 , , 4 ) and total combinations of both dices is 49 . the probability of getting 8 in first attempt is 7 / 49 = 1 / 7 . probability of getting 8 again in second attempt = ( 1 / 7 ) * ( 1 / 7 ) = 1 / 49 . ans e""";probability;e;41385;a ) 1 / 144 , b ) 1 / 36 , c ) 1 / 12 , d ) 1 / 6 , e ) 1 / 49
five 6 faced dice are thrown together . the probability that all the three show the same number on them is ?;the three dice can fall in 6 * 6 * 6 * 6 * 6 = 7776 ways . hence the probability is 6 / 7776 = 1 / 1296 answer : b;probability;b;20157;a ) 1 / 32 , b ) 1 / 1296 , c ) 1 / 33 , d ) 1 / 38 , e ) 1 / 34
"kim has 7 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 14 shoes , what is the probability that she will select 2 shoes of the same color ?";"""can be tackled in this way as well : probability of selecting any 1 out of 14 shoes = 14 / 14 = 1 probability of selecting the next shoe ( out of 14 available ) having the same color = 1 / 14 ( as after selecting the 1 st one , there is only 1 another shoe left with the same color ) . thus the total probability = 1 * 1 / 13 = 1 / 13 . a is the correct answer .""";probability;a;20069;a ) 1 / 13 , b ) 1 / 15 , c ) 11 / 9 , d ) 1 / 10 , e ) 1 / 25
an urn contains 5 red , 6 blue and 8 green balls . 4 balls are randomly selected from the urn , find the probability that the drawn ball are 1 blue and 1 red and 2 green balls ?;"""sample space = no . of ways 4 balls were drawn from urn = 19 c 4 = 3876 no . ways 1 blue and 1 red and 2 green balls were drawn from bag = 6 c 1 * 5 c 1 * 8 c 2 = 840 probability = 840 / 3876 = 70 / 323 ans - a""";probability;a;37694;a ) 70 / 323 , b ) 50 / 323 , c ) 52 / 969 , d ) 60 / 323 , e ) 25 / 321
a coin is tossed 3 times . what is the probability of getting exactly 2 heads ?;"""the number of possible outcomes is 2 ^ 3 = 8 there are 3 ways to get exactly 2 heads . p ( exactly 2 heads ) = 3 / 8 the answer is c .""";probability;c;21728;a ) 1 / 2 , b ) 1 / 4 , c ) 3 / 8 , d ) 5 / 8 , e ) 3 / 16
a card is drawn from a pack of 52 cards the probability of getting queen of club or aking of a heart ?;"""here n ( s ) = 52 let e be the event of getting queen of the club or king of kings n ( e ) = 2 p ( e ) = n ( e ) / n ( s ) = 2 / 52 = 1 / 26 answer ( c )""";probability;c;41697;a ) 8 / 58 , b ) 9 / 25 , c ) 1 / 26 , d ) 6 / 25 , e ) 8 / 45
bill and jane play a simple game involving two fair dice , each of which has 6 sides numbered from 1 to 6 ( with an equal chance of landing on any side ) . bill rolls the dice and his score is the total of the two dice . jane then rolls the dice and her score is the total of her two dice . if jane ’ s score is higher than bill ’ s , she wins the game . what is the probability the jane will win the game ?;there are three possible outcomes in the game : 1 . b wins 2 . j wins 3 . draw so , 1 = p ( j ) + p ( b ) + p ( draw ) 1 = p ( j ) + p ( b ) + p ( draw ) the probability of b winning or j winning the game is same . so , 1 = 2 ∗ p ( j ) + p ( draw ) 1 = 2 ∗ p ( j ) + p ( draw ) so , we need to calculate the probability of a draw . a draw can happen when both will have the same sum . the possible sums are - 2 , 34 , 56 , 78 , 910 , 1112 prob . of each sum is - 2 - 11 - 1 / 36 3 - 1 2 , 2 1 - 2 / 36 4 - 1 3 , 2 2 , 3 1 - 3 / 36 5 - 1 4 , 2 3 , 3 2 , 41 - 4 / 36 6 - 1 5 , 2 4 , 3 3 , 4 2 , 5 1 - 5 / 36 7 - 1 6 , 2 5 , 3 4 , 4 3 , 5 2 , 61 - 6 / 36 8 - 2 6 , 3 5 , 4 4 , 5 3 , 6 2 , - 5 / 36 9 - 3 6 , 4 5 , 5 4 , 63 - 4 / 36 10 - 4 6 , 5 5 , 6 4 - 3 / 36 11 - 5 6 , 6 5 - 2 / 36 12 - 6 6 - 1 / 36 now , since both have to get the same sum , the probability will be same for both and the combined probability will be the square of the probabilities i . e . 2 - ( 1 / 36 ) ^ 2 3 - ( 2 / 36 ) ^ 2 etc . squaring the probabilities and adding them will give 146 / 1296 so , p ( d ) = 146 / 1296 1 = 2 * p ( j ) + p ( d ) 2 * p ( j ) = 1150 / 1296 p ( j ) = 575 / 1296 ans . c;probability;c;34234;a ) 15 / 36 , b ) 175 / 432 , c ) 575 / 1296 , d ) 583 / 1296 , e ) 1 / 2
a certain club has 10 members , including jarry . one of the 10 members is chosen at random to be the president , one of the remaining 9 members is to be chosen at random to be the secretary , and one of the remaining 8 members is to be chosen at random to be the treasurer . what is the probability that jarry will be either the member chose to be secretary or the member chose to be treasurer ?;in order to become a secretary the person can not be chosen as a president . this can be done in 9 / 10 ways . then to become a secretary this person ' s probability is 1 / 9 probability to become a secretary = ( 9 / 10 * 1 / 9 ) = 1 / 10 similar concept for treasurer . probability of not president = 9 / 10 , probability of not secretary = 8 / 9 , probability of treasurer 1 / 8 probability to become a treasurer = ( 9 / 10 * 8 / 9 * 1 / 8 ) = 1 / 10 since , the problem is saying jarry secretary or treasurer it is addition : 1 / 10 + 1 / 10 = 1 / 5 = e;probability;e;16318;a ) 1 / 720 , b ) 1 / 80 , c ) 1 / 10 , d ) 1 / 9 , e ) 1 / 5
joe has candys on his pocket , 4 of those candies have lemon flavor , and 3 have caramel flavor . if joe take one , what is the probability that he picks one caramel flavor ?;the total number of candies is 7 and the number of candies with lemon flavor is 3 then , in one chance the probability to pick one candie with lemon flavor is 3 / 7 answer d;probability;d;37778;a ) 1 , b ) 2 , c ) none , d ) 3 / 7 , e ) 3 / 4
the probability that a number selected at random from the first 100 natural numbers is a composite number is ?;"""explanation : the number of exhaustive events = 100 c ₁ = 100 . we have 25 primes from 1 to 100 . number of favourable cases are 75 . required probability = 75 / 50 = 3 / 2 . answer is d""";probability;d;42542;a ) 2 / 3 , b ) 3 / 5 , c ) 3 / 4 , d ) 3 / 2 , e ) 5 / 2
in how many ways can 5 people be arranged in a circle ?;"""( 5 − 1 ) ! = 4 ! = 24 ways ans - c""";probability;c;39444;a ) 2 ! , b ) 5 ! , c ) 4 ! , d ) 3 ! , e ) 6 !
a meeting has to be conducted with 5 managers . find the number of ways in which the managers may be selected from among 7 managers , if there are 2 managers who refuse to attend the meeting together .;"""the total number of ways to choose 5 managers is 7 c 5 = 21 we need to subtract the number of groups which include the two managers , which is 5 c 3 = 10 . 21 - 10 = 11 the answer is d .""";probability;d;18635;a ) 6 , b ) 8 , c ) 10 , d ) 11 , e ) 15
a string of 50 light bulbs is wired in such a way that if any individual light bulb fails , the entire string fails . if for each individual light bulb the probability of failing during time period t is 0.05 , what is the probability that the string of light bulbs will fail during the time period t ?;the string of light bulbs will fail if at least one light bulb fails . so , let ' s find the probability of the opposite event and subtract that value from 1 . the opposite event is when none of the 50 light bulbs fails , since the probability of each light bulb not to fail is 1 - 0.05 = 0.95 the the probability that none of the 50 light bulbs fails is 0.95 ^ 50 . hence , the probability that at least one light bulb fails is 1 - 0.95 ^ 50 . answer : d . now , you should have spotted that your reasoning was not right because of one simple thing , consider the case when we have 100 light bulbs instead of 50 , then according to your logic the probability that the string of light bulbs will fail would be 100 * 0.05 = 5 , which is not possible since the probability of an event can not be more than 1 ( 100 % ) .;probability;d;17332;a ) 0.05 , b ) ( 0.05 ) ^ 50 , c ) 1 - ( 0.96 ) ^ 50 , d ) 1 - ( 0.95 ) ^ 50 , e ) ( 0.95 ) ^ 50
a fair coin is tossed 13 times . what is the probability of getting more heads than tails in 13 tosses ?;"""on each toss , the probability of getting a head is 1 / 2 and the probability of getting a tail is 1 / 2 . there is no way to get the same number of heads and tails on an odd number of tosses . there will either be more heads or more tails . then there must be more heads on half of the possible outcomes and more tails on half of the possible outcomes . p ( more heads ) = 1 / 2 the answer is a .""";probability;a;27473;a ) 1 / 2 , b ) 63 / 128 , c ) 4 / 7 , d ) 61 / 256 , e ) 63 / 64
what is the probability of getting a sum of 12 when rolling 3 dice simultaneously ?;"""sum of 12 can be achieved in following ways 6 , 5,1 - - - total cases = 3 ! = 6 6 , 4,2 - - - total cases = 3 ! = 6 6 , 3,3 - - - total cases = 3 ! / 2 ! = 3 5 , 5,2 - - - total cases = 3 ! / 2 ! = 3 5 , 4,3 - - - total cases = 3 ! = 6 4 , 4,4 - - - total cases = 3 ! / 3 ! = 1 total cases = 25 probability = 25 * ( 1 / 6 * 1 / 6 * 1 / 6 ) = 25 / 216 answer : e""";probability;e;37764;a ) 10 / 216 , b ) 12 / 216 , c ) 21 / 216 , d ) 23 / 216 , e ) 25 / 216
a jar contains only red , yellow , and orange marbles . if there are 3 red , 6 yellow , and 4 orange marbles , and 3 marbles are chosen from the jar at random without replacing any of them , what is the probability that 2 yellow , 1 red , and no orange marbles will be chosen ?;"""i started by finding the 2 probabilities , without calculation , like this : p ( yyr ) p ( yry ) p ( ryy ) i calculated the first one and ended in 1 / 22 . i looked at the answer choices at this point and saw answer d : 3 / 22 . this helped me realise that for the 3 possible orderings the probabbility is the same . so , it should be ( 1 / 22 ) * ( 6 ) , which indeed is 6 / 22 . e""";probability;e;38624;a ) 1 / 60 , b ) 1 / 45 , c ) 2 / 45 , d ) 3 / 22 , e ) 5 / 22
the maitre ' d at an expensive manhattan restaurant has noticed that 60 % of the couples order dessert and coffee . however , 20 % of the couples who order dessert do n ' t order coffee . what is the probability y that the next couple the maitre ' d seats will not order dessert ?;"""could you use a venn diagram and just go with the number 100 . 60 people order dessert and coffee . . . which is the union of d and c . y = 2 / 10 of d are n ' t in d u c = so 8 / 10 of d are in duc which means = 60 = 8 / 10 d . so d in total = 75 , and 15 d ' s are n ' t in d union c . which means 25 people are in c only + neither . b 25 %""";probability;b;20283;a ) 20 % , b ) 25 % , c ) 40 % , d ) 60 % , e ) 75 %
how many positive integers less than 500 can be formed using the numbers 1 , 2 , 3 and 5 for the digits ?;"""notice that we can find the number of 2 and 3 digit numbers by just assuming the first digit can also be zero : 0 1 1 1 2 2 2 3 3 3 5 5 number of possibilities = 4 * 4 * 4 = 64 . then , just add up the number of 1 digits numbers = 4 , so total is 64 + 4 = 68 . answer : d""";probability;d;30203;a ) 48 , b ) 52 , c ) 66 , d ) 68 , e ) 84
a child want to buy 3 new toys . if there are 10 toys that satisfy the child ' s criteria , in how many different ways can the child select the 3 new toys if the order of selection does n ' t matter .;"""the number of ways of choosing 3 toys out of 10 are counted by = 10 c 3 ways = 120 answer : option b""";probability;b;37347;a ) 20 , b ) 120 , c ) 210 , d ) 15 , e ) 45
a card is drawn from a pack of 52 cards . the probability of getting a face card ?;"""clearly in the 52 cards out of which there are 16 face cards . probability of getting a face card = 16 / 52 = 4 / 13 correct option is d""";probability;d;36076;a ) 2 / 15 , b ) 2 / 13 , c ) 1 / 15 , d ) 4 / 13 , e ) 5 / 7
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular hexagon ?;"""it has two vertices on sides , which do not make a diagonal but a side . . so remaining 3 vertices make diagonals . . . only the opposite vertex will make largest diagonal and other two smaller ones . . so prob = 2 / ( 2 + 1 ) = 2 / 3 answer : d""";probability;d;26014;a ) 1 / 4 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 7 / 9
three unbiased coins are tossed . what is the probability of getting 2 heads and 2 tail ?;"""let , h - - > head , t - - > tail here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting 3 heads then e = { thh , hth , hht , tht , tth } p ( e ) = n ( e ) / n ( s ) = 5 / 8 answer is a""";probability;a;37122;a ) 5 / 8 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) 1 / 8
three unbiased coins are tossed . what is the probability of getting at most two heads ?;explanation : here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting at most two heads . then e = { ttt , tth , tht , htt , thh , hth , hht } . p ( e ) = n ( e ) / n ( s ) = 7 / 8 . answer is d;probability;d;31375;a ) 3 / 4 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) none of these
in how many ways 4 boys and 3 girls can be seated in a row so that they are alternative ?;"""4 boys can be seated in 4 ! three girls can be seated in 3 ! required number = 4 ! 3 ! = 144 answer is b""";probability;b;40242;a ) 120 , b ) 144 , c ) 160 , d ) 210 , e ) 180
